,Artist,Genres,Popularity,Followers
89,Lorentz,"['deep swedish hip hop', 'deep swedish indie pop', 'swedish hip hop', 'swedish idol pop', 'swedish indie pop', 'swedish indie rock']",56,10231.0
90,Jars Of Clay,"['ccm', 'christian alternative rock', 'christian christmas', 'christian hip hop', 'christian music', 'christian rock', 'worship']",51,74368.0
91,Face To Face,"['emo', 'melodic hardcore', 'pop punk', 'punk', 'ska punk', 'skate punk']",54,44959.0
92,Songhoy Blues,"['chamber psych', 'world']",45,21721.0
93,Sims,"['abstract hip hop', 'underground rap']",39,7468.0
94,Art of Sleeping,['deep australian indie'],41,10079.0
95,Neon Indian,"['alternative dance', 'chillwave', 'dance-punk', 'dream pop', 'freak folk', 'future funk', 'indie pop', 'indie psych-rock', 'indie r&b', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'nu gaze', 'shimmer pop', 'synthpop', 'vaporwave']",59,185818.0
96,Bleeding Knees Club,"['deep australian indie', 'indie garage rock', 'shimmer pop']",35,10175.0
97,Tom Vek,"['alternative dance', 'dance-punk', 'indietronica', 'new rave']",39,18190.0
98,Chateau Marmont,"['electrofox', 'filter house']",34,4959.0
99,Jonathan Richman,"['alternative rock', 'anti-folk', 'art rock', 'country rock', 'dance rock', 'garage rock', 'lo-fi', 'post-punk', 'power pop', 'protopunk', 'singer-songwriter', 'slow core', 'traditional folk', 'uk post-punk']",46,19206.0
100,Ashley Monroe,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",54,36263.0
101,Emily Haines & The Soft Skeleton,"['canadian indie', 'canadian pop', 'folk-pop', 'indie pop']",44,15121.0
102,Craft Spells,"['alternative dance', 'chillwave', 'dream pop', 'indie garage rock', 'indie pop', 'indie psych-rock', 'indietronica', 'neo-psychedelic', 'noise pop', 'nu gaze', 'preverb', 'shimmer pop', 'shiver pop', 'synthpop']",54,52561.0
103,Blankts & Teddy,['none'],29,599.0
104,Futurecop!,"['filter house', 'nu disco', 'retro electro']",44,17409.0
105,I Am The Avalanche,"['alternative emo', 'anthem emo', 'dreamo', 'emo', 'melodic hardcore', 'pop punk']",39,11451.0
106,SBTRKT,"['alternative dance', 'bass music', 'chillwave', 'deep indie r&b', 'escape room', 'future garage', 'indie r&b', 'indietronica', 'neo soul', 'new rave', 'uk garage']",64,453378.0
107,xxyyxx,"['chillwave', 'indietronica', 'wonky']",56,171536.0
108,Armand Mirpour,['swedish indie pop'],19,2299.0
109,Polyenso,"['dreamo', 'progressive post-hardcore']",37,6903.0
110,Ulf Nilsson,"['melodipop', 'swedish alternative rock', 'swedish folk pop', 'swedish idol pop', 'swedish pop']",46,5936.0
111,Blockhead,"['acid jazz', 'big beat', 'chillhop', 'downtempo', 'electro swing', 'electronic', 'ninja', 'nu jazz', 'trip hop', 'turntablism']",58,72276.0
112,Kaptan,"['indie poptimism', 'indie psych-rock']",59,6107.0
113,Danger Radio,"['alternative pop rock', 'pop emo', 'pop punk']",27,3232.0
114,Drowners,"['alt-indie rock', 'indie rock']",39,24608.0
115,Mr. Bungle,"['alternative metal', 'experimental rock', 'funk metal', 'funk rock', 'jazz metal']",47,61085.0
116,Boozoo Bajou,"['acid jazz', 'big beat', 'downtempo', 'electro jazz', 'electro swing', 'electronic', 'indie jazz', 'ninja', 'nu jazz', 'trip hop']",50,21283.0
117,The Lovely Bad Things,"['garage pop', 'indie garage rock', 'indie punk']",29,4630.0
118,Aaron Lee Tasjan,"['alternative country', 'deep new americana', 'new americana', 'roots rock', 'stomp and holler']",41,4295.0
119,Rajiv Dhall,['teen pop'],45,18189.0
120,DrewsThatDude,['vapor twitch'],48,3146.0
121,The Presets,"['alternative dance', 'australian dance', 'dance-punk', 'deep australian indie', 'electroclash', 'electronic', 'indietronica', 'new rave', 'synthpop']",55,77893.0
122,Fat White Family,"['alt-indie rock', 'chamber psych', 'garage psych']",41,23406.0
123,Darby Slick,['none'],0,1.0
124,Jake Howden,['none'],41,1565.0
125,Matthew Mayfield,"['acoustic pop', 'indie anthem-folk', 'indiecoustica', 'neo mellow']",43,13333.0
126,Rad Horror,['none'],32,1682.0
127,Eyes on the Shore,"['indie poptimism', 'indie psych-rock', 'indie rockism', 'shimmer pop']",42,2825.0
128,Boehm,"['deep tropical house', 'tropical house']",64,6015.0
129,Title Fight,"['alternative emo', 'anthem emo', 'emo', 'indie punk', 'melodic hardcore', 'pop punk', 'screamo']",55,83435.0
130,Hoobastank,"['alternative metal', 'alternative rock', 'emo', 'funk metal', 'modern rock', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock', 'rock']",70,407279.0
131,Damian Marley,"['reggae', 'reggae fusion']",76,487192.0
132,Les Big Byrd,"['deep swedish indie pop', 'swedish indie pop', 'swedish indie rock']",39,2853.0
133,Econoline Crush,['canadian indie'],30,2386.0
134,The Underachievers,"['deep underground hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",63,149892.0
135,Swimming With Dolphins,"['alternative pop rock', 'christian dance', 'electropowerpop']",30,6654.0
136,The Rocket Summer,"['alternative pop rock', 'dreamo', 'emo', 'modern rock', 'neo mellow', 'piano rock', 'pop christmas', 'pop emo', 'pop punk', 'pop rock', 'punk christmas']",46,30568.0
137,Charlotte Perrelli,"['europop', 'eurovision', 'melodipop', 'swedish folk pop', 'swedish idol pop', 'swedish pop']",41,10147.0
138,Viceroy,"['filter house', 'nu disco']",52,15164.0
139,Savlonic,"['antiviral pop', 'deep chiptune', 'otacore', 'steampunk', 'video game music']",44,7118.0
140,Mild High Club,"['freak folk', 'indie garage rock', 'indie psych-rock', 'indietronica', 'neo-psychedelic', 'preverb']",64,47514.0
141,Superfood,['alt-indie rock'],49,13278.0
142,Pharrell Williams,"['dance pop', 'pop', 'pop rap', 'rap']",91,1612630.0
143,Lenno,"['filter house', 'nu disco']",49,6370.0
144,Fiona Fitzpatrick,['none'],42,26.0
145,TeddyLoid,"['j-dance', 'otacore']",49,15463.0
146,Liars,"['alternative dance', 'brooklyn indie', 'chamber psych', 'dance-punk', 'experimental', 'experimental rock', 'freak folk', 'garage psych', 'grave wave', 'indie rock', 'indietronica', 'lo-fi', 'math rock', 'neo-psychedelic', 'new rave', 'new weird america', 'no wave', 'noise pop', 'noise rock', 'nu gaze', 'post rock', 'post-hardcore', 'post-punk', 'slow core', 'space rock', 'uk post-punk']",50,41571.0
147,Stereo Skyline,"['alternative pop rock', 'pop emo']",36,17796.0
148,Like A Storm,"['alternative metal', 'christian alternative rock', 'hard alternative', 'nu metal', 'post-grunge', 'post-screamo', 'rap metal']",51,28330.0
149,Sabzi,['none'],32,2525.0
150,Bassnectar,"['bass trap', 'breakbeat', 'brostep', 'edm', 'electro house', 'electronic trap', 'glitch hop']",70,342476.0
151,The Magpie Salute,"['blues-rock', 'modern blues']",37,2706.0
152,Jeffree Star,"['electropowerpop', 'strut']",43,57677.0
153,Louis The Child,"['edm', 'electronic trap', 'indie poptimism', 'tropical house', 'vapor soul', 'vapor twitch']",71,108531.0
154,Old Kerry McKee,['none'],8,333.0
155,(Sandy) Alex G,"['alternative rock', 'anti-folk', 'chillwave', 'dream pop', 'escape room', 'folk-pop', 'freak folk', 'garage psych', 'indie folk', 'indie garage rock', 'indie pop', 'indie psych-rock', 'indie punk', 'indie r&b', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'noise pop', 'preverb', 'slow core']",60,36946.0
156,Crime In Stereo,"['alternative emo', 'emo', 'melodic hardcore', 'pop punk', 'straight edge']",33,5612.0
157,Johnny Rain,"['deep indie r&b', 'deep pop r&b', 'indie r&b']",54,55238.0
158,Foster The People,"['alternative dance', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern rock']",79,1875651.0
159,The Orielles,"['alt-indie rock', 'chamber psych']",29,2153.0
160,Frederick Fox,['none'],0,11.0
161,Patrick Sweany Band,['none'],12,765.0
162,Stephen Day,['indiecoustica'],45,3864.0
163,Dia Frampton,"['deep talent show', 'indie poptimism']",49,31045.0
164,Violet Days,['indie poptimism'],57,4685.0
165,Tommy James & The Shondells,"['brill building pop', 'bubblegum pop', 'christmas', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'motown', 'psychedelic rock', 'rock-and-roll', 'soft rock']",55,35711.0
166,Peter Bradley Adams,"['acoustic pop', 'chamber pop', 'folk christmas', 'folk-pop', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'pop christmas', 'singer-songwriter', 'stomp and holler']",65,39950.0
167,The Staves,"['chamber pop', 'folk-pop', 'indie anthem-folk', 'indie folk', 'indie pop', 'new americana', 'stomp and holler']",63,101056.0
168,Killing Heidi,['australian pop'],39,4889.0
169,Rictor,['indie anthem-folk'],33,818.0
170,Blues Pills,"['retro metal', 'stoner rock']",45,46840.0
171,The Moonlandingz,"['alt-indie rock', 'chamber psych', 'garage psych', 'madchester']",37,5238.0
172,The Frosted Ambassador,['e6fi'],3,195.0
173,Django Django,"['alternative dance', 'dance-punk', 'indie rock', 'indietronica', 'new rave', 'shimmer pop']",54,161063.0
174,Little Cub,['none'],37,1844.0
175,Perfume,"['anime', 'future funk', 'j-dance', 'j-idol', 'j-pop', 'j-rock', 'japanese r&b', 'otacore', 'shibuya-kei']",53,60080.0
176,Hellbelly,['deep swedish rock'],2,43.0
177,Mounties,['none'],35,2665.0
178,Blessid Union Of Souls,"['neo mellow', 'pop rock', 'post-grunge']",46,12011.0
179,The Snake The Cross The Crown,['dreamo'],24,2378.0
180,Cher Lloyd,"['dance pop', 'pop', 'post-teen pop', 'talent show', 'teen pop', 'viral pop']",67,1034300.0
181,k.d. lang,"['canadian country', 'canadian pop', 'folk', 'folk-pop', 'lilith', 'mellow gold', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",57,52650.0
182,Brandyn Burnette,"['indie poptimism', 'vapor soul']",62,8852.0
183,Gold Light,['none'],7,129.0
184,Richard Edwards,['none'],32,1844.0
185,Barns Courtney,['modern rock'],64,53303.0
186,Matt Millz,['indie anthem-folk'],39,963.0
187,Pedro The Lion,"['alternative emo', 'dreamo', 'emo', 'emo punk', 'folk christmas', 'indie christmas', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'melancholia', 'punk christmas', 'seattle indie', 'slow core']",43,21920.0
188,Twin Bandit,['none'],56,2413.0
189,Roar,['none'],36,2915.0
190,The Brew,"['jam band', 'modern blues']",31,5881.0
191,The Tourist Company,['none'],23,956.0
192,Alina Devecerski,"['swedish eurodance', 'swedish idol pop', 'swedish pop']",42,203199.0
193,The Polish Ambassador,['new tribe'],54,42615.0
194,Jonas Aden,"['deep big room', 'deep groove house', 'edm', 'electro house', 'house', 'sky room']",49,10951.0
195,Thomas Jack,"['deep house', 'deep tropical house', 'tropical house']",63,43094.0
196,Compny,['none'],23,1680.0
197,Clinic,"['alternative rock', 'dance-punk', 'experimental rock', 'freak folk', 'garage psych', 'indie christmas', 'indie rock', 'lo-fi', 'neo-psychedelic', 'noise pop', 'noise rock', 'nu gaze', 'post-punk', 'shoegaze', 'space rock', 'uk post-punk']",39,16827.0
198,Someone Still Loves You Boris Yeltsin,"['indie pop', 'indie rock', 'modern rock', 'neo-psychedelic', 'stomp and holler']",42,18806.0
199,Al Cooper,['none'],9,126.0
200,Tides Of Man,"['dreamo', 'progressive post-hardcore', 'screamo']",45,21807.0
201,Magic Bronson,['indie psych-rock'],39,2047.0
202,Sabrepulse,"['chiptune', 'deep chiptune', 'nintendocore']",38,9335.0
203,Ducktails,"['chillwave', 'dream pop', 'freak folk', 'garage psych', 'indie garage rock', 'indie pop', 'indie psych-rock', 'indie rock', 'indietronica', 'neo-psychedelic', 'noise pop', 'nu gaze', 'preverb']",53,38555.0
204,Little Comets,"['alt-indie rock', 'british indie rock', 'indie anthem-folk', 'indie rock', 'indietronica', 'shimmer pop']",52,61749.0
205,The Amps,"['alternative pop', 'alternative rock', 'gbvfi', 'indie rock', 'lo-fi', 'riot grrrl']",25,4828.0
206,Your Favorite Martian,"['antiviral pop', 'comic', 'otacore']",51,76254.0
207,Arthur Russell,"['alternative rock', 'ambient', 'art rock', 'cello', 'chamber pop', 'chamber psych', 'dream pop', 'drone', 'escape room', 'experimental', 'experimental rock', 'fluxwork', 'fourth world', 'freak folk', 'indie r&b', 'indie rock', 'lo-fi', 'minimal', 'neo-psychedelic', 'new weird america', 'no wave', 'noise pop', 'post-punk', 'singer-songwriter', 'slow core', 'uk post-punk']",50,30459.0
208,Lena Fayre,"['indie poptimism', 'vapor pop']",43,14181.0
209,RJ Malcolm,['focus'],48,117.0
210,Mount Cashmore,['none'],45,207.0
211,Bill Shepherd Orchestra,['none'],3,3.0
212,Black Star Riders,"['album rock', 'glam metal', 'hard rock', 'rock', 'sleaze rock']",41,13300.0
213,Sonder,"['deep indie r&b', 'indie r&b']",58,18967.0
214,Markus Krunegård,"['classic swedish pop', 'deep swedish indie pop', 'swedish alternative rock', 'swedish folk pop', 'swedish idol pop', 'swedish indie pop', 'swedish indie rock', 'swedish pop']",51,44403.0
215,John the Ghost,['none'],37,6646.0
216,I Break Horses,"['chillwave', 'metropopolis', 'nu gaze', 'swedish synthpop']",33,18065.0
217,Kel,['indiecoustica'],30,731.0
218,Submotion Orchestra,"['bass music', 'deep indie r&b', 'future garage', 'indie jazz', 'ninja', 'substep']",47,36697.0
219,Better Than Ezra,"['alternative rock', 'neo mellow', 'pop rock', 'post-grunge', 'rock']",56,68605.0
220,Regurgitator,"['australian alternative rock', 'australian pop', 'deep australian indie']",43,10237.0
221,stellastarr*,"['brooklyn indie', 'dance-punk', 'garage rock', 'indie rock', 'modern rock', 'new rave']",32,5542.0
222,Arkasia,"['brostep', 'catstep', 'chillstep', 'complextro', 'deep chiptune', 'edm', 'electro house', 'filthstep', 'tracestep', 'zapstep']",44,15158.0
223,Silverchair,"['alternative metal', 'alternative rock', 'australian alternative rock', 'funk rock', 'grunge', 'nu metal', 'pop rock', 'post-grunge', 'rock']",64,209842.0
224,Darlingside,"['deep new americana', 'new americana']",50,10327.0
225,Knife Edge,['none'],0,2.0
226,Dorothy,['none'],62,74959.0
227,Samuel Proffitt,['none'],33,951.0
228,This Beautiful Republic,"['christian alternative rock', 'christian rock']",31,6418.0
229,Nico Vega,['indie rock'],50,29988.0
230,E1sbar,['indie psych-rock'],31,671.0
231,Hail The Sun,"['dreamo', 'progressive post-hardcore', 'screamo']",47,18218.0
232,Sonia Leigh,['none'],34,2629.0
233,Head Automatica,"['dreamo', 'emo', 'modern rock', 'pop punk', 'screamo']",45,17768.0
234,Yoguttene,"['norwegian hip hop', 'norwegian indie', 'norwegian pop']",42,2893.0
235,Aer,"['pop rap', 'underground pop rap']",61,95503.0
236,RMK & Toppen,"['deep pop edm', 'deep swedish hip hop', 'swedish eurodance', 'swedish hip hop', 'swedish idol pop']",45,12744.0
237,Bonde Do Role,['baile funk'],39,12286.0
238,Two Gallants,"['bay area indie', 'indie folk', 'stomp and holler']",42,28534.0
239,MF DOOM,"['alternative hip hop', 'east coast hip hop', 'escape room', 'hardcore hip hop', 'hip hop', 'rap', 'underground hip hop']",66,230274.0
240,Mr Twin Sister,"['chillwave', 'dream pop', 'freak folk', 'indie garage rock', 'indie pop', 'indie psych-rock', 'indie r&b', 'indietronica', 'neo-psychedelic', 'noise pop', 'nu gaze', 'preverb', 'shimmer pop']",50,30934.0
241,Einar Stray Orchestra,"['norwegian indie', 'norwegian pop']",30,1816.0
242,Frankie Rose,"['brooklyn indie', 'chillwave', 'garage psych', 'noise pop', 'nu gaze', 'preverb']",42,20700.0
243,Captain Dan & The Scurvy Crew,"['nerdcore', 'steampunk']",25,2143.0
244,Kettel,"['ambient idm', 'drill and bass', 'electronic', 'electronica', 'glitch', 'intelligent dance music']",39,7492.0
245,Levi The Poet,['spoken word'],43,12760.0
246,School Of Seven Bells,"['alternative dance', 'brooklyn indie', 'chillwave', 'dream pop', 'indie psych-rock', 'indietronica', 'metropopolis', 'noise pop', 'nu gaze', 'shimmer pop', 'synthpop']",44,35088.0
247,Gillian Welch,"['alternative country', 'anti-folk', 'country rock', 'folk', 'folk rock', 'folk-pop', 'indie folk', 'lilith', 'melancholia', 'new americana', 'progressive bluegrass', 'roots rock', 'singer-songwriter', 'stomp and holler', 'traditional folk']",59,70136.0
248,Guldgossen,['swedish indie pop'],9,273.0
249,Emil Berg,"['deep pop edm', 'melodipop', 'swedish idol pop']",50,5414.0
250,Victor och Natten,"['melodipop', 'swedish folk pop', 'swedish idol pop']",29,817.0
251,Tiffany Alvord,"['channel pop', 'post-teen pop', 'viral pop']",53,99231.0
252,Stavroz,"['deep euro house', 'deep melodic euro house', 'french indietronica']",54,22622.0
253,Young Rising Sons,"['indie pop', 'indie poptimism', 'indie rockism', 'indiecoustica', 'indietronica', 'modern rock']",52,36851.0
254,Tonedeff,"['abstract hip hop', 'underground rap']",45,6972.0
255,Captain Pop,['none'],0,0.0
256,Ingrid St-Pierre,['quebecois'],38,2883.0
257,Dermot Kennedy,"['indie anthem-folk', 'indie folk', 'neo mellow']",67,33544.0
258,Trading Yesterday,['neo mellow'],45,17981.0
259,Alexa Goddard,['none'],41,10565.0
260,Civilian,['dreamo'],34,2663.0
261,Single Mothers,"['alternative emo', 'chaotic hardcore', 'indie punk']",39,7712.0
262,My Epic,"['christian hardcore', 'christian metal', 'christian uplift', 'dreamo', 'progressive post-hardcore']",37,9925.0
263,Noble Oak,"['chillwave', 'vapor soul', 'vapor twitch']",43,2761.0
264,Blakfish,['math pop'],22,1633.0
265,The Spook School,"['indie punk', 'twee pop']",31,2479.0
266,Sam Tinnesz,['none'],48,2709.0
267,Fake Club,['none'],12,818.0
268,Tris Day,['channel pop'],34,1087.0
269,Tommy Trash,"['australian dance', 'big room', 'brostep', 'deep big room', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton', 'progressive electro house', 'progressive house', 'sky room']",62,69277.0
270,Only Yours,['none'],27,402.0
271,VibeSquaD,['glitch hop'],35,5908.0
272,Noah Kahan,"['indie anthem-folk', 'indie folk']",64,7958.0
